refreshed_time,province,kabupaten_kota,candidate_1_votes,candidate_2_votes,candidate_3_votes,total_votes
2024-02-20 23:15:39.355539,Luar Negeri,"Berlin, Jerman",704.0,559.0,836.0,2099.0
2024-02-20 23:15:39.355539,Luar Negeri,"Bern, Swiss",227.0,401.0,581.0,1209.0
2024-02-20 23:15:39.355539,Luar Negeri,"Bogota, Kolombia",0.0,20.0,28.0,48.0
2024-02-20 23:15:39.355539,Luar Negeri,"Brasilia, Brasil",20.0,65.0,110.0,195.0
2024-02-20 23:15:39.355539,Luar Negeri,"Bratislava, Slowakia",52.0,150.0,46.0,248.0
2024-02-20 23:15:39.355539,Luar Negeri,"Brussels, Belgia",261.0,385.0,524.0,1170.0
2024-02-20 23:15:39.355539,Luar Negeri,"Bucharest, Rumania",42.0,160.0,73.0,275.0
2024-02-20 23:15:39.355539,Luar Negeri,"Budapest, Hongaria",256.0,444.0,153.0,853.0
2024-02-20 23:15:39.355539,Luar Negeri,"Buenos Aires, Argentina",23.0,65.0,85.0,173.0
2024-02-20 23:15:39.355539,Luar Negeri,"Canberra, Australia",200.0,118.0,244.0,562.0
2024-02-20 23:15:39.355539,Luar Negeri,"Cape Town, Afrika Selatan",26.0,34.0,21.0,81.0
2024-02-20 23:15:39.355539,Luar Negeri,"Caracas, Venezuela",21.0,48.0,31.0,100.0
2024-02-20 23:15:39.355539,Luar Negeri,"Chicago, Amerika Serikat",276.0,243.0,416.0,935.0
2024-02-20 23:15:39.355539,Luar Negeri,"Colombo, Sri Langka",32.0,102.0,63.0,197.0
2024-02-20 23:15:39.355539,Luar Negeri,"Dakar, Senegal",212.0,274.0,97.0,583.0
2024-02-20 23:15:39.355539,Luar Negeri,"Damascus, Suriah",164.0,85.0,32.0,281.0
2024-02-20 23:15:39.355539,Luar Negeri,"Dar-Es Salaam, Tanzania",17.0,41.0,33.0,91.0
2024-02-20 23:15:39.355539,Luar Negeri,"Darwin, Australia",93.0,161.0,147.0,401.0
2024-02-20 23:15:39.355539,Luar Negeri,"Davao City, Filipina",220.0,685.0,134.0,1039.0
2024-02-20 23:15:39.355539,Luar Negeri,"Den Haag, Belanda",1205.0,1095.0,1953.0,4253.0
2024-02-20 23:15:39.355539,Luar Negeri,"Dhaka, Bangladesh",133.0,150.0,78.0,361.0
2024-02-20 23:15:39.355539,Luar Negeri,"Dili, Timor Leste",273.0,1750.0,759.0,2782.0
2024-02-20 23:15:39.355539,Luar Negeri,"Doha, Qatar",2356.0,750.0,517.0,3623.0
2024-02-20 23:15:39.355539,Luar Negeri,"Dubai, Uni Emirat Arab",923.0,1793.0,441.0,3157.0
2024-02-20 23:15:39.355539,Luar Negeri,"Frankfurt, Jerman",1117.0,1630.0,2341.0,5088.0
2024-02-20 23:15:39.355539,Luar Negeri,"Guangzhou, Tiongkok",48.0,332.0,262.0,642.0
2024-02-20 23:15:39.355539,Luar Negeri,"Hamburg, Jerman",525.0,675.0,916.0,2116.0
2024-02-20 23:15:39.355539,Luar Negeri,"Hanoi, Vietnam",37.0,47.0,49.0,133.0
2024-02-20 23:15:39.355539,Luar Negeri,"Harare, Zimbabwe",29.0,100.0,28.0,157.0
2024-02-20 23:15:39.355539,Luar Negeri,"Havana, Kuba",8.0,96.0,54.0,158.0
2024-02-20 23:15:39.355539,Luar Negeri,"Helsinki, Finlandia",122.0,175.0,193.0,490.0
2024-02-20 23:15:39.355539,Luar Negeri,"Ho Chi Minh City, Vietnam",56.0,97.0,114.0,267.0
2024-02-20 23:15:39.355539,Luar Negeri,"Hong Kong, Republik Rakyat Tiongkok",2122.0,23537.0,7739.0,33398.0
2024-02-20 23:15:39.355539,Luar Negeri,"Houston, Amerika Serikat",352.0,464.0,789.0,1605.0
2024-02-20 23:15:39.355539,Luar Negeri,"Islamabad, Pakistan",389.0,141.0,47.0,577.0
2024-02-20 23:15:39.355539,Luar Negeri,"Istanbul, Turki",1086.0,460.0,84.0,1630.0
2024-02-20 23:15:39.355539,Luar Negeri,"Jeddah, Arab Saudi",9916.0,4843.0,1375.0,16134.0
2024-02-20 23:15:39.355539,Luar Negeri,"Johor Bahru, Malaysia",462.0,2572.0,396.0,3430.0
2024-02-20 23:15:39.355539,Luar Negeri,"Kairo, Mesir",6996.0,1981.0,529.0,9506.0
2024-02-20 23:15:39.355539,Luar Negeri,"Karachi, Pakistan",137.0,38.0,12.0,187.0
2024-02-20 23:15:39.355539,Luar Negeri,"Khartoum, Sudan",13.0,12.0,2.0,27.0
2024-02-20 23:15:39.355539,Luar Negeri,"Kiev, Ukrania",6.0,30.0,17.0,53.0
2024-02-20 23:15:39.355539,Luar Negeri,"Kopenhagen, Denmark",139.0,139.0,212.0,490.0
2024-02-20 23:15:39.355539,Luar Negeri,"Kota Kinabalu, Malaysia",2138.0,10538.0,1802.0,14478.0
2024-02-20 23:15:39.355539,Luar Negeri,"Kuala Lumpur, Malaysia",5166.0,6461.0,1952.0,13579.0
2024-02-20 23:15:39.355539,Luar Negeri,"Kuching, Malaysia",937.0,5186.0,671.0,6794.0
2024-02-20 23:15:39.355539,Luar Negeri,"Kuwait City, Kuwait",653.0,820.0,259.0,1732.0
2024-02-20 23:15:39.355539,Luar Negeri,"Lima, Peru",10.0,37.0,35.0,82.0
2024-02-20 23:15:39.355539,Luar Negeri,"Lisabon, Portugal",35.0,125.0,89.0,249.0
2024-02-20 23:15:39.355539,Luar Negeri,"London, Inggris",1527.0,748.0,1400.0,3675.0
2024-02-20 23:15:39.355539,Luar Negeri,"Los Angeles, Amerika Serikat",404.0,1295.0,2102.0,3801.0
2024-02-20 23:15:39.355539,Luar Negeri,"Madrid, Spanyol",154.0,315.0,376.0,845.0
2024-02-20 23:15:39.355539,Luar Negeri,"Manama, Bahrain",199.0,528.0,73.0,800.0
2024-02-20 23:15:39.355539,Luar Negeri,"Manila, Filipina",84.0,478.0,353.0,915.0
2024-02-20 23:15:39.355539,Luar Negeri,"Maputo, Mozambik",37.0,70.0,37.0,144.0
